Year,Branch,Company,Package (LPA)
2023-24,Computer Engineering,Google,24.5
2023-24,Information Technology,Microsoft,22.0
2023-24,Electronics & Telecommunication Engg,Qualcomm,18.75
2023-24,Mechanical Engineering,Bosch,8.5
2023-24,Chemical Engineering,Reliance Industries,9.2
2023-24,Civil Engineering,Larsen & Toubro,7.8
2023-24,Electrical Engineering,Siemens,10.4
2023-24,Instrumentation & Control Engg,ABB,9.9
2023-24,Industrial Engineering,Mahindra & Mahindra,8.1
2023-24,Production Engineering,Tata Motors,7.5
2023-24,AI & Data Science,Amazon,26.0
2023-24,CSE (AI & ML),Nvidia,30.0
2023-24,CSE (AI),Adobe,27.5
2022-23,Computer Engineering,Accenture,6.5
2022-23,Information Technology,Cognizant,4.75
2022-23,Electronics & Telecommunication Engg,Intel,16.0
2022-23,Mechanical Engineering,Mercedes-Benz,9.0
2022-23,Chemical Engineering,ITC,6.8
2022-23,Civil Engineering,Ambuja Cement,5.5
2022-23,AI & Data Science,Flipkart,19.5
2021-22,Computer Engineering,TCS,4.0
2021-22,Information Technology,Wipro,3.8
2021-22,Mechanical Engineering,Volkswagen,8.9
2021-22,Chemical Engineering,BASF,9.4
