UUID,Program Name,Batch,Current Company,Current Designation
d59d11bc-f9bd-40cd-9e26-730007d06a5b,Computer Engineering,2012,Zoho,Co-Founder
659d4075-ef85-4bce-b552-d564d10aace3,Information Technology,2014,HSBC,Executive Vice President
ac189ba4-f30c-4a55-b7ac-b39ef3ce1a02,Electronics & Telecommunication Engineering,2015,IBM,Director - Engineering
839ce74f-c955-4501-8d57-0764c7c7dc44,Mechanical Engineering,2016,Bosch,Senior Manager
16bd8c17-c40c-429d-a1d7-b0d18d9b5fbb,Computer Engineering,2018,Infosys,Team Lead
27fca692-9e8f-404a-a67c-ffb3b42197ac,Chemical Engineering,2019,BASF,Senior Process Engineer
395ce9e1-9ae4-4931-b251-b3105f300dd2,Information Technology,2020,Wipro,Software Engineer
3e6a577d-0a2e-4a59-9b61-6d6832848853,Civil Engineering,2022,L&T Construction,Graduate Engineer Trainee
e3e1bec9-8ee2-4028-af0f-30e86dcaaff8,Computer Engineering,2023,Microsoft,Intern
e68bf5c9-18eb-4ad4-8b2b-a4c70a9ee247,Computer Engineering,2017,Infosys,Technical Lead
c0906c3d-5b84-441c-9c28-c1e91645b6fd,Computer Engineering,2017,INFOSYS,Senior Consultant
c4666fad-413f-4b18-add9-839540156c4f,Information Technology,2018,Wipro Limited,Manager
5fadf1d4-5c44-4c5f-8bc0-f97e56fd8295,Information Technology,2019, Wipro ,Senior Analyst
33af341f-e92c-4e8e-9484-6808f6b7be8a,Mechanical Engineering,2020,Bosch India,Manager
04fff399-22df-42a7-86da-4046862b5754,Electrical Engineering,#VALUE!,Siemens,Principal Engineer
df88bd89-07b1-4226-9ddd-1c49be4c6928,Computer Engineering,2021,,Manager
035fedc2-a016-4ddb-9573-3968002dc274,Information Technology,2019,Others,Analyst
464d9c13-957a-428d-9498-3cd28d50c02d,Chemical Engineering,2016,Reliance Industries,Plant Head
464d9c13-957a-428d-9498-3cd28d50c02d,Chemical Engineering,2016,Reliance Industries,Plant Head
