UUID,Program Name,Batch,Current Company,Current Designation
4fa86f7c-bf5c-460d-9536-c446749043fb,Computer Engineering,2015,Freshworks,Founder & CEO
bf3c5807-9835-4c56-9285-3f629bb82d51,Information Technology,2016,Barclays,Vice President
f48bcb60-69ef-47ba-b078-be62b67dc90e,Electronics & Telecommunication Engineering,2014,Deloitte,Director
d55fa629-ff4f-4da1-9ed9-b0f13fa4c8d4,Mechanical Engineering,2018,Bosch,Senior Manager
e6525e99-67dc-48f1-b0fb-d753bd6938a0,Computer Engineering,2019,Amazon,Engineering Manager
6c4292fd-f7f5-44e6-99d6-eeb72bc5680b,Chemical Engineering,2020,Reliance Industries,Senior Process Engineer
306c4a65-b28b-434b-bed5-f04a0a055013,Information Technology,2021,Cognizant,Software Engineer
7009107d-716b-4dce-9ee2-70a69610cac2,Civil Engineering,2022,Larsen & Toubro,Graduate Engineer Trainee
48a3823c-b820-45e3-836a-2ae762bdbed6,Electrical Engineering,2017,Siemens,Principal Engineer
66c85753-015d-4fd1-bd53-54db6732834b,Computer Engineering,2023,Google,Intern
