Year,Branch,Company,Package (LPA)
2023-24,Information Technology,Zoho(P),9.0
2023-24,Computer Engineering,Persistent(I+PPO),7.5
2023-24,Computer Engineering,Google,24.0
2022-23,Computer Engineering,google,23.5
2021-22,Computer Engineering,GOOGLE,22.0
2023-24,Production Engineering,Tata Motors,7.5
2022-23,Production Engineering,Tata Motors Limited,7.2
2021-22,Production Engineering,Tata Motors Ltd.,7.0
2023-24,Chemical Engineering,Hindustan Unilever,9.5
2022-23,Chemical Engineering,Hindustan Unilever (HUL),9.0
2021-22,Chemical Engineering,HUL,8.8
2023-24,Mechanical Engineering,Forbes Marshell,6.0
2023-24,BTech-Computer Engineering,Infosys,6.5
2022-23,BTech - Computer Engineering,Infosys,6.2
2023-24,BTech-Artificial Intelligence & Data Science,Flipkart,19.0
2022-23,BTech - Artificial Intelligence and Data Science,Flipkart,18.5
2020-21,Comp,Wipro,3.8
2020-21,ECE,Qualcomm,15.5
2020-21,Mech,Bosch,8.0
 2023-24,Electrical Engineering, Siemens ,10.0
2023-24,Mechanical Engineering,Tata  Motors,7.5
2023-24,Instrumentation & Control Engg,ABB India,9.5
2023-24,Civil Engineering,Larsen & Toubro,7.8 LPA
2023-24,Computer Engineering,TCS,4.5
2023-24,Computer Engineering,TCS,7.2
2023-24,Mechanical Engineering,Bosch,8.5
2023-24,Mechanical Engineering,Bosch,8.5
,,,
2023-24,Computer Engineering,,12.0
2023-24,Mechanical Engineering,Bosch,Not Disclosed
2023-24,BSc Physics,Google,20.0
2020-21,MCA,TCS,5.0
2023-24,Information Technology,"Zoho, Persistent",9.0
2023-24,AI & Data Science,Amazon,26.0
2023-24,CSE (AI),Adobe,27.5
